"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000038538",566.362331622875,1173.9533565547,681.065819112227,674.064597235951,1005.12560282425,456.012733529191,928.656065373805,964.999669384018,1207.94648347068,888.985263977018
"ENSMUSG00000038539",575,3579,788,1866,3083,2314,3273,2566,2556,2151
"ENSMUSG00000038540",33,43,15,15,28,9,16,32,16,28
"ENSMUSG00000038541",0,0,1,1,0,0,0,5,5,1
"ENSMUSG00000038542",237,401.743483593123,263,315.113896321982,394.285754412308,338.046678201854,372.054431089596,309.189414462404,314.04765416883,285.721563487775
"ENSMUSG00000038543",41.0116710037255,43.0159218230603,16.0112823033903,52.0148641034968,43.0056874382204,71.0105992714716,37.0782382061341,18.0083877061659,13,36
"ENSMUSG00000038544",203,130.018617748979,198.088870832912,128.011760698663,138.048633788576,144,86,87,110,98.0116048791974
"ENSMUSG00000038545",148,815,227,544,968,658,758,719,773,590.564528591864
"ENSMUSG00000038546",571,744.166660570081,634,633,711,606.906739860949,617,543,600,604
"ENSMUSG00000038550",4,38,7,24,26,22,40,20,23,22
"ENSMUSG00000038552",0,16,5,17,23,18,15,9,4,14
